ID,Character,Gender,Job,House,Wand,Patronus,Species,BloodStatus,HairColor,EyeColor,Skills,Quidditch_Match_1996-1997,Quidditch_Match_1995-1996,Quidditch_Match_1997-1998,Quidditch_Match_1991-1992
1,HarryJamesPotter,Male,Student,Gryffindor,11Hollyphoenixfeather,Stag,Human,Half-blood,Black,BrightGreen,Parseltongue_DefenceAgainsttheDarkArts_Seeker,TRUE,TRUE,FALSE,FALSE
2,RonaldBiliusWeasley,Male,Student,Gryffindor,12Ashunicorntailhair,JackRussellterrier,Human,Pure-blood,Red,Blue,Wizardchess_Quidditchgoalkeeping,TRUE,TRUE,FALSE,FALSE
3,HermioneJeanGranger,Female,Student,Gryffindor,10_vinewooddragonheartstring,Otter,Human,Muggle-born,Brown,Brown,Almosteverything,FALSE,FALSE,FALSE,FALSE
4,AlbusPercivalWulfricBrianDumbledore,Male,Headmaster,Gryffindor,15ElderThestraltailhaircore,Phoenix,Human,Half-blood,Silver_formerlyauburn,Blue,Consideredbymanytobeoneofthemostpowerfulwizardsofhistime,FALSE,FALSE,FALSE,FALSE
5,RubeusHagrid,Male,KeeperofKeysandGroundsProfessorofCareofMagicalCreatures,Gryffindor,16Oakunknowncore,None,HalfHumanHalfGiant,Part-Human-Half-giant,Black,Black,Resistanttostunningspells_aboveaveragestrength_crossbowmanship,FALSE,FALSE,FALSE,FALSE
6,NevilleLongbottom,Male,Student,Gryffindor,13Cherryunicornhair,Non-corporeal,Human,Pure-blood,Blond,Unknown,Herbology,FALSE,FALSE,FALSE,TRUE
7,JustinFinch-Fletchley,Male,Student,Hufflepuff,Unknown,Non-corporeal,Human,Muggle-born,Red,Brown,Beater,FALSE,FALSE,FALSE,FALSE
8,GeorgeWeasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Beater,FALSE,FALSE,FALSE,FALSE
9,Ginevra(Ginny)MollyWeasley,Female,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,Red,BrightBrown,Chaser_Bat-Bogeyhex,FALSE,FALSE,FALSE,FALSE
10,DeanThomas,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Black,Brown,Chaser,TRUE,FALSE,FALSE,FALSE
11,SeamusFinnigan,Male,Student,Gryffindor,Unknown,Fox,Human,Half-blood,Sandy,Unknown,Pyrotechnics,FALSE,FALSE,FALSE,FALSE
