SpellID,Incantation,Spell,Effect,Light
41,PiertotumLocomotor,PiertotumLocomotor,Animatestarget,Green
38,Oppugno,OppugnoJinx,Assaultstargetwithdirectedobject,Unknown
26,Incarcerous,IncarcerousSpell,Bindstargetinropes,Unknown
20,Expulso,ExpulsoCurse,Blowsthingsup,Blue
16,Engorgio,EngorgementCharm,Causesswelling,Icyblue
34,Muffliato,MuffliatoCharm,Concealssound,Unknown
18,ExpectoPatronum,PatronusCharm,Conjuresaspiritguardian,Silver
27,Incendio,FireMakingSpell,Conjuresflames,Orange
57,Serpensortia,SnakeSummonsSpell,Conjuressnake,White
2,Aguamenti,WaterMakingSpell,Conjureswater,Icyblue
14,Diffindo,SeveringCharm,Cutsobjects,Lightgreen
19,Expelliarmus,DisarmingCharm,Disarmsanopponent,Scarlet
36,Obliviate,MemoryCharm,Erasesmemories,Green
13,Crucio,CruciatusCurse,Excruciatingpain,Red
12,Confringo,BlastingCurse,Explosion,FieryOrange
35,Nox,WandExtinguishingCharm,Extinguisheswandlight,Unknown
49,Reparo,MendingCharm,Fixesbrokenobjects,Unknown
48,Relashio,RevulsionJinx,Forcestargettoletgo,Purple
17,Episkey,Episkey,Healsminorinjuries,Unknown
55,Salviohexia,Salviohexia,Hexdeflection,Haze
24,Impedimenta,ImpedimentJinx,Hindersmovement,Turquoise
31,Lumos,WandLightingCharm,Illuminatesthewandtip,White
7,AvadaKedavra,KillingCurse,Instantaneousdeath,Green
58,Stupefy,StunningSpell,Knocksouttarget,Red
56,Sectumsempra,Sectumsempra,Laceratestarget,White
11,Colloportus,LockingSpell,Locksdoors,Unknown
61,WingardiumLeviosa,LevitationCharm,Makesobjectsfly,Unknown
9,BrackiumEmendo,BrackiumEmendo,Mendsbones,Blue
29,Locomotor,LocomotionCharm,Movesobjectsinmidair,Unknown
39,PeskipiksiPesternomi,PeskipiksiPesternomi,supposedlycapturespixies,Unknown
10,CistemAperio,CistemAperio,Openschests,White
32,LumosMaxima,LumosMaxima,Producesbrightlight,White
33,LumosSolem,LumosSolemSpell,Producessunlight,Brightyellow
44,Protego,ShieldCharm,Reflectsspellsandblocksphysicalforces,Unknown
37,OculusReparo,OculusReparo,Repairsglasses,Unknown
50,RepelloInimicum,RepelloInimicum,Repelsenemies_fusedwithProtegoMaximaandFiantoDuri,Unknown
51,RepelloMuggletum,MuggleRepellingCharm,RepelsMuggles,Haze
5,AraniaExumai,SpiderRepellingspell,Repelsspiders,Blue
22,HomenumRevelio,HumanPresenceRevealingSpell,Revealshumanpresence,Unknown
15,Dissendium,Dissendium,Revealssecretpassages,Unknown
52,Revelio,RevelioCharm,Revealssecretsaboutapersonorobject,Blue
3,AlarteAscendare,LaunchAnObjectUpInToTheAir,Rocketstargetupward,Red
46,Protegototalum,Protegototalum,Shieldsanarea,Unknown
43,PrioriIncantatem,ReverseSpell,Showsthepreviousspellscastbyawand,Gold
47,Reducio,ShrinkingCharm,Shrinkstarget,Purple
6,ArrestoMomentum,SlowingCharm,Slowsorstopstarget'svelocity,Unknown
8,Bombarda,ExplodingCharm,Smallexplosion,Unknown
30,LocomotorMortis,LegLockerCurse,Stickslegstogether,Purple
23,Immobulus,FreezingCharm,Stopsmovementandactionsofthetarget,Blue
45,ProtegoMaxima,ProtegoMaxima,Summonsalargeprotectivebarrier,White
1,Accio,SummoningCharm,Summonsanobject,Unknown
28,Levicorpus,Levicorpus,Suspendspeoplebytheankles,Green
40,PetrificusTotalus,FullBodyBindCurse,TemporaryParalysis,White
21,Finite,GeneralCounterSpell,Terminatesallspelleffects,Red
53,Rictusempra,TicklingCharm,Ticklesandweakens,Silver
25,Imperio,ImperiusCurse,Totalcontroloverthevictim,Unknown
59,VeraVerto,VeraVerto,Transformsanimalsintowatergoblets,Crystalclear
54,Riddikulus,BoggartBanishingSpell,TurnsaBoggartintosomethingamusing,Unknown
42,Portus,Portus,TurnsobjectintoPortkey,Blue
4,Alohomora,UnlockingCharm,Unlockstarget,Blue
60,ViperaEvanesca,SnakeVanishingSpell,Vanishessnakes,Blacksmoke
